Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ALTM;1249012;USD;2021;FY;2021-12-31;2022-02-22;2024-03-05;9012876;39087876;662044000;-233619000;428425000;-374552000;-28588000;;-243558000;53873000;-50148000;-117365000;3725000;-378000;3347000;-1865000;1482000;;1482000;1482000
ALTM;1249012;USD;2022;FY;2022-12-31;2023-03-07;2024-03-05;41630000;41665000;1213490000;-541518000;671972000;-508872000;-94268000;;-260345000;163100000;32193000;-149252000;195293000;58044000;253337000;-2616000;250721000;;250721000;135518000
ALTO;10656736;USD;2018;FY;2018-12-31;2019-03-18;2020-03-30;43376000;43376000;1515371000;-1530535000;-15164000;-36373000;-36373000;;;-51537000;-16961000;-17132000;-68498000;;-68498000;562000;-67936000;;-60273000;-61538000
ALTO;10656736;USD;2019;FY;2019-12-31;2020-03-30;2022-03-15;47384000;47384000;1424881000;-1434819000;-9938000;-35453000;-35453000;;;-45391000;-20102000;-20206000;-65493000;-35809000;-101302000;20000;-101282000;;-88949000;-90214000
ALTO;10656736;USD;2020;FY;2020-12-31;2021-03-26;2023-03-14;58609000;58609000;897023000;-844164000;52859000;-31980000;-31980000;;;20879000;-17193000;;3686000;-20985000;-17299000;17000;-17282000;;-15116000;-16384000
ALTO;10656736;USD;2021;FY;2021-12-31;2022-03-15;2024-03-14;71098000;72219000;1207892000;-1140108000;67784000;-29185000;-29185000;;;38599000;-2379000;;36220000;11331000;47551000;-1469000;46082000;;46082000;44217000
ALTO;10656736;USD;2022;FY;2022-12-31;2023-03-14;2024-03-14;71944000;71944000;1335621000;-1363171000;-27550000;-31579000;-31579000;;;-59129000;21687000;;-37442000;-2230000;-39672000;-1925000;-41597000;;-41597000;-42862000
ALTR;686620;USD;2018;FY;2018-12-31;2019-03-01;2021-02-26;67468000;74878000;396379000;-115973000;280406000;-255762000;-160028000;-97592000;-7739000;24644000;2380000;-200000;27024000;;27024000;-11489000;15535000;;15535000;15535000
ALTR;686620;USD;2019;FY;2019-12-31;2020-03-02;2022-02-28;71544000;71544000;458915000;-132599000;326316000;-318109000;-188229000;-117510000;-14442000;8207000;-4819000;-6371000;3388000;;3388000;-10930000;-7542000;;-7542000;-7542000
ALTR;686620;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;73241000;73241000;469921000;-121305000;348616000;-336903000;-197872000;-126081000;-16376000;11713000;-9681000;-11598000;2032000;;2032000;-12532000;-10500000;;-10500000;-10500000
ALTR;686620;USD;2021;FY;2021-12-31;2022-02-28;2024-02-22;75750000;75750000;532179000;-129666000;402513000;-390174000;-207958000;-167341000;-18357000;12339000;-12627000;-12065000;-288000;;-288000;-8506000;-8794000;;-8794000;-8794000
ALTR;686620;USD;2022;FY;2022-12-31;2023-02-24;2024-02-22;79472000;79472000;572221000;-122889000;449332000;-456269000;-236172000;-202542000;-27510000;-6937000;-21276000;-4377000;-28213000;;-28213000;-15216000;-43429000;;-43429000;-43429000
ALUR;15539303;USD;2022;FY;2022-12-31;2023-03-27;2024-03-26;26918484;26918484;64211000;-13485000;50726000;-82736000;-65770000;-16966000;;-32010000;-4770000;-4426000;-36780000;-821000;-37601000;-143000;-37744000;;-37744000;-40651000
ALV;104657;USD;2021;FY;2021-12-31;2022-02-22;2024-02-20;87400000;87700000;8230000000;-6719000000;1511000000;-833000000;-432000000;-391000000;-10000000;678000000;-63000000;-56000000;615000000;;615000000;-177000000;438000000;;436000000;436000000
ALV;104657;USD;2022;FY;2022-12-31;2023-02-16;2024-02-20;87200000;87200000;8842000000;-7446000000;1396000000;-830000000;-437000000;-390000000;-3000000;566000000;37000000;-54000000;603000000;;603000000;-178000000;425000000;;423000000;423000000
ALVR;11817801;USD;2019;FY;2019-12-31;2020-02-12;2021-02-12;61169373;61169373;165000;;;-26866000;-10618000;-16248000;;-26701000;2862000;2065000;-23839000;;-23839000;;-23839000;;-23839000;-23839000
ALVR;11817801;USD;2020;FY;2020-12-31;2021-02-12;2022-02-10;26897390;26897390;;;;-71309000;-21646000;-49663000;;-71309000;1525000;1330000;-69784000;;-69784000;;-69784000;;-69784000;-69784000
ALVR;11817801;USD;2021;FY;2021-12-31;2022-02-10;2023-02-15;62782126;62782126;;;;-169818000;-49083000;-120735000;;-169818000;-1137000;1315000;-170955000;;-170955000;-1007000;-171962000;;-171962000;-171962000
ALVR;11817801;USD;2022;FY;2022-12-31;2023-02-15;2024-03-15;76654856;76654856;;;;-171202000;-52332000;-118870000;;-171202000;2227000;1876000;-168975000;;-168975000;265000;-168710000;;-168710000;-168710000
ALX;87732;USD;2018;FY;2018-12-31;2019-02-11;2021-02-16;5116838;5116838;232825000;;;-132207000;-5343000;;-33089000;100618000;-31987000;-44533000;68631000;-11990000;56641000;;56641000;-23797000;32844000;32844000
